year,party,intervention,type,count
1932,Liberal Progressive,302,climate change,0
1956,Liberal Progressive,101,climate change,0
1931,Independent,674,climate change,0
1996,Liberal,9950,climate change,25
1956,Independent,99,climate change,0
1931,Liberal Progressive,361,climate change,0
1913,Liberal-Conservative,217,climate change,0
1933,Conservative (1867-1942),12726,climate change,0
1931,Labour,613,climate change,0
1930,United Farmers of Ontario,4,climate change,0
1923,United Farmers of Ontario,24,climate change,0
1918,Conservative (1867-1942),510,climate change,0
1970,Ralliement Créditiste,1327,climate change,0
1963,Progressive Conservative,11608,climate change,0
2016,New Democratic Party,3653,climate change,77
1926,Progressive,2309,climate change,0
1936,Independent Liberal,2,climate change,0
1909,Conservative (1867-1942),14876,climate change,0
1959,Liberal,13032,climate change,0
1947,Independent Progressive Conservative,70,climate change,0
1979,New Democratic Party,2641,climate change,0
1952,Liberal Progressive,41,climate change,0
1923,Conservative (1867-1942),10878,climate change,0
1952,Independent,155,climate change,0
1934,Conservative (1867-1942),14222,climate change,0
1911,Independent,32,climate change,0
1946,Social Credit,1731,climate change,0
1930,Conservative (1867-1942),8267,climate change,0
1911,Labour,56,climate change,0
1945,Social Credit,1469,climate change,0
1963,Independent Liberal,8,climate change,0
1933,Independent Labour,61,climate change,0
1993,Independent,27,climate change,0
1995,Bloc Québécois,4567,climate change,2
1969,Progressive Conservative,12352,climate change,0
1939,Co-operative Commonwealth Federation (C.C.F.),3001,climate change,0
1903,Independent Liberal,5,climate change,0
1924,United Farmers of Ontario,27,climate change,0
1919,Unionist,16918,climate change,0
1937,Liberal,9853,climate change,0
1948,Bloc populaire canadien,49,climate change,0
1939,Conservative (1867-1942),8881,climate change,0
1929,Liberal,11600,climate change,0
1928,Liberal,12804,climate change,0
1924,Conservative (1867-1942),13144,climate change,0
2004,Progressive Conservative,620,climate change,2
1902,Independent Conservative,136,climate change,0
1934,Independent Labour,117,climate change,0
1925,Liberal,15812,climate change,0
1978,Liberal,19108,climate change,0
2010,Independent,34,climate change,0
1997,Progressive Conservative,834,climate change,9
1921,Independent,30,climate change,0
1933,United Farmers of Alberta,1007,climate change,0
1921,Nationalist Liberal,580,climate change,0
1915,Labour,50,climate change,0
1927,Progressive,378,climate change,0
1936,Liberal,14636,climate change,0
1959,Independent Liberal,1,climate change,0
1922,Progressive,3291,climate change,0
1944,Unity,48,climate change,0
1968,Independent Progressive Conservative,28,climate change,0
1912,Labour,12,climate change,0
1993,New Democratic Party,2879,climate change,2
2015,Liberal,3800,climate change,74
1923,United Farmers of Alberta,127,climate change,0
1944,Liberal Progressive,74,climate change,0
1901,Liberal,2936,climate change,0
1944,Independent,491,climate change,0
1934,United Farmers of Alberta,944,climate change,0
1930,United Farmers of Alberta,991,climate change,0
1964,New Democratic Party,6828,climate change,0
1969,Liberal,17565,climate change,0
1944,Co-operative Commonwealth Federation (C.C.F.),4287,climate change,0
1921,Conservative (1867-1942),1493,climate change,0
1992,New Democratic Party,4028,climate change,7
1988,Progressive Conservative,22640,climate change,4
1931,United Farmers of Alberta,915,climate change,0
1915,Conservative (1867-1942),8358,climate change,0
1950,Liberal Labour,30,climate change,0
1947,Progressive Conservative,12856,climate change,0
1942,Independent Liberal,195,climate change,0
1961,Progressive Conservative,24351,climate change,0
1920,Liberal,1795,climate change,0
1912,Conservative (1867-1942),5107,climate change,0
1955,Liberal Labour,295,climate change,0
1958,Liberal,11325,climate change,0
1991,New Democratic Party,4222,climate change,5
1903,Independent Conservative,472,climate change,0
2015,Forces et Démocratie,44,climate change,1
1953,Independent Liberal,4,climate change,0
1984,Liberal,14879,climate change,0
1921,United Farmers of Ontario,11,climate change,0
2003,New Democratic Party,1867,climate change,5
1921,United Farmers,118,climate change,0
1932,Independent Labour,58,climate change,0
1931,Independent Labour,64,climate change,0
1991,Independent,72,climate change,0
1920,Laurier Liberal,8214,climate change,0
1958,Progressive Conservative,16275,climate change,0
2014,Forces et Démocratie,19,climate change,0
1965,Independent Liberal,10,climate change,0
1961,Liberal,15473,climate change,0
2003,Independent,25,climate change,0
1956,Liberal Labour,214,climate change,0
1948,Independent C.C.F.,120,climate change,0
1984,Progressive Conservative,13973,climate change,0
2015,Conservative,10534,climate change,42
1964,Co-operative Commonwealth Federation (C.C.F.),301,climate change,0
1924,Labour,921,climate change,0
1971,Independent Liberal,21,climate change,0
1939,Liberal Progressive,127,climate change,0
1939,Independent,335,climate change,0
1924,Independent,28,climate change,0
1947,Liberal,18365,climate change,0
1972,Social Credit,884,climate change,0
2004,Conservative,2767,climate change,8
1932,United Farmers of Alberta,1449,climate change,0
1942,New Democracy,9,climate change,0
1914,Liberal-Conservative,63,climate change,0
1960,Liberal Labour,1068,climate change,0
1952,Liberal Labour,79,climate change,0
1941,Unity,44,climate change,0
1910,Liberal,13998,climate change,0
1975,New Democratic Party,5207,climate change,0
1912,Liberal-Conservative,478,climate change,0
1904,Independent Labour,70,climate change,0
1986,Liberal,11471,climate change,0
1942,Social Credit,1523,climate change,0
2000,Liberal,7727,climate change,28
1974,Social Credit,863,climate change,0
1948,Independent,128,climate change,0
1940,Co-operative Commonwealth Federation (C.C.F.),1301,climate change,0
1948,Liberal Progressive,2,climate change,0
1999,New Democratic Party,2348,climate change,5
1922,Independent Conservative,191,climate change,0
1953,Social Credit,1278,climate change,0
1940,Conservative (1867-1942),771,climate change,0
1941,Independent,138,climate change,0
1970,Liberal,18523,climate change,0
1954,Social Credit,1214,climate change,0
1941,Liberal Progressive,30,climate change,0
1935,Liberal,10270,climate change,0
1918,Unionist,6146,climate change,0
1990,Liberal,9528,climate change,2
1962,Progressive Conservative,18494,climate change,1
1970,Progressive Conservative,13420,climate change,0
1963,Ralliement Créditiste,1529,climate change,0
1999,Independent,83,climate change,0
1944,Bloc populaire canadien,80,climate change,0
1990,Progressive Conservative,17726,climate change,16
1962,Liberal,12310,climate change,0
2013,Green,466,climate change,7
1968,Social Credit,165,climate change,0
1965,Social Credit,770,climate change,0
1935,Progressive Conservative,27,climate change,0
1920,Unionist (Liberal),1324,climate change,0
1914,Conservative (1867-1942),14090,climate change,0
1972,Independent Liberal,57,climate change,0
1951,Liberal Labour,121,climate change,0
1957,Liberal Labour,493,climate change,0
1986,Progressive Conservative,24649,climate change,0
1996,Bloc Québécois,4530,climate change,0
1975,Independent,152,climate change,0
2000,Progressive Conservative,1437,climate change,2
1938,Liberal Progressive,171,climate change,0
1938,Independent,663,climate change,0
1922,Independent Progressive,135,climate change,0
1971,Social Credit,1249,climate change,0
1917,Independent Conservative,129,climate change,0
1916,Liberal,11711,climate change,0
1968,Ralliement Créditiste,1153,climate change,0
1965,Ralliement Créditiste,1562,climate change,0
1938,Co-operative Commonwealth Federation (C.C.F.),1911,climate change,0
1983,Independent,67,climate change,0
1963,Social Credit,2010,climate change,0
1987,Liberal,11673,climate change,1
1949,Liberal Labour,9,climate change,0
1927,Independent Liberal,7,climate change,0
1914,Labour,77,climate change,0
1994,New Democratic Party,716,climate change,0
1971,Ralliement Créditiste,463,climate change,0
1943,Liberal,15502,climate change,0
2013,Independent,199,climate change,3
1966,Liberal,26773,climate change,0
1945,Progressive Conservative,6780,climate change,0
1926,Liberal,12441,climate change,0
1938,Conservative (1867-1942),10578,climate change,0
1940,Unity,16,climate change,0
1943,Progressive Conservative,1577,climate change,0
1946,Liberal,15241,climate change,0
1998,Bloc Québécois,3133,climate change,8
1966,Progressive Conservative,16402,climate change,0
1945,Liberal,10806,climate change,0
1941,Co-operative Commonwealth Federation (C.C.F.),1823,climate change,0
1983,New Democratic Party,6752,climate change,0
2011,Bloc Québécois,1206,climate change,14
1944,Labour Progressive,79,climate change,0
1941,Conservative (1867-1942),710,climate change,0
1940,Liberal Progressive,24,climate change,0
1948,Co-operative Commonwealth Federation (C.C.F.),5937,climate change,0
1940,Independent,162,climate change,0
1994,Independent,14,climate change,0
1987,Progressive Conservative,25550,climate change,0
1966,Independent Liberal,11,climate change,0
1904,Independent,76,climate change,0
1989,Reform,40,climate change,0
1945,New Democracy,2,climate change,0
1940,National Government,5509,climate change,0
1943,Independent Liberal,134,climate change,0
1910,Independent Conservative,116,climate change,0
1990,Independent Conservative,22,climate change,0
1927,Liberal,7254,climate change,0
2012,Independent,158,climate change,1
1919,Independent,19,climate change,0
1967,Co-operative Commonwealth Federation (C.C.F.),253,climate change,0
1937,Social Credit,550,climate change,0
1936,United Farmers of Ontario-Labour,89,climate change,0
1922,Liberal,7650,climate change,0
1909,Liberal-Conservative,732,climate change,0
1929,Progressive,682,climate change,0
1928,Progressive,626,climate change,0
2005,Independent,68,climate change,0
1991,Reform,32,climate change,0
1949,Conservative (1867-1942),1,climate change,0
1981,New Democratic Party,4784,climate change,0
1925,Progressive,8480,climate change,0
2012,New Democratic Party,13926,climate change,146
2004,Canadian Alliance,2722,climate change,4
1978,Social Credit,809,climate change,0
1916,Independent Conservative,166,climate change,0
1946,Independent Liberal,580,climate change,0
1921,Unionist,10585,climate change,0
1917,Liberal,18984,climate change,0
1913,Conservative (1867-1942),6505,climate change,0
1982,Progressive Conservative,15257,climate change,0
1992,Reform,25,climate change,0
1945,Independent Liberal,338,climate change,0
1951,Independent,368,climate change,0
1937,United Farmers of Ontario-Labour,51,climate change,0
1936,Social Credit,839,climate change,0
1951,Liberal Progressive,68,climate change,0
1957,Liberal Progressive,55,climate change,0
1949,Co-operative Commonwealth Federation (C.C.F.),5007,climate change,0
1957,Independent,137,climate change,0
1943,New Democracy,25,climate change,0
1997,Bloc Québécois,3112,climate change,6
1951,Co-operative Commonwealth Federation (C.C.F.),5295,climate change,0
1957,Co-operative Commonwealth Federation (C.C.F.),6123,climate change,0
1949,Liberal Progressive,16,climate change,0
1969,Ralliement Créditiste,2139,climate change,0
1949,Independent,158,climate change,0
1993,Reform,22,climate change,0
1958,Social Credit,409,climate change,0
1911,Liberal-Conservative,329,climate change,0
1926,Independent Conservative,139,climate change,0
1967,New Democratic Party,5583,climate change,0
1913,Labour,15,climate change,0
1966,Independent Progressive Conservative,352,climate change,0
1910,Independent Liberal,9,climate change,0
1972,Progressive Conservative,6878,climate change,0
2014,Bloc Québécois,136,climate change,1
1995,Liberal,11845,climate change,35
2015,Bloc Québécois,91,climate change,1
2006,Independent,20,climate change,0
1919,United Farmers,1,climate change,0
1945,Independent Progressive Conservative,9,climate change,0
1920,Progressive,314,climate change,0
1905,Liberal-Conservative,1660,climate change,0
1946,Independent Progressive Conservative,15,climate change,0
1941,National Government,7462,climate change,0
2012,Green,700,climate change,14
1904,Conservative (1867-1942),14147,climate change,0
1967,Independent,866,climate change,0
1920,United Farmers of Ontario-Labour,15,climate change,0
1947,Social Credit,2102,climate change,0
1972,Liberal,9171,climate change,0
1995,Progressive Conservative,127,climate change,0
1962,Independent Liberal,3,climate change,0
1908,Liberal-Conservative,858,climate change,0
2009,Independent,24,climate change,2
1919,Conservative (1867-1942),266,climate change,0
1946,Progressive Conservative,10692,coal,102
1948,Liberal,16392,coal,114
1973,Progressive Conservative,19871,coal,118
1975,Progressive Conservative,16532,coal,47
1975,Liberal,23973,coal,46
1976,Progressive Conservative,14901,coal,44
1976,Liberal,20417,coal,33
1976,Social Credit,1102,coal,1
1976,New Democratic Party,4322,coal,21
1977,Progressive Conservative,16764,coal,59
1977,Social Credit,991,coal,1
1978,Progressive Conservative,13109,coal,41
1980,Progressive Conservative,10571,coal,136
1981,Progressive Conservative,15279,coal,102
1982,Liberal,20631,coal,73
1985,Progressive Conservative,25634,coal,77
1988,Liberal,8938,coal,93
1989,New Democratic Party,4484,coal,37
1990,New Democratic Party,6022,coal,47
1991,Progressive Conservative,13572,coal,85
1994,Reform,5958,coal,38
1997,Liberal,8061,coal,34
1997,Reform,4463,coal,35
1997,New Democratic Party,1166,coal,19
1999,Reform,6223,coal,50
2000,Canadian Alliance,75,coal,0
2000,New Democratic Party,1897,coal,79
2001,New Democratic Party,2157,coal,53
2001,Liberal,11369,coal,140
2001,Canadian Alliance,6220,coal,182
2001,Progressive Conservative,1827,coal,76
2002,Bloc Québécois,3337,coal,71
2002,Canadian Alliance,6377,coal,128
2002,Liberal,11121,coal,103
2002,New Democratic Party,1889,coal,39
2002,Progressive Conservative,1748,coal,35
2003,Liberal,10019,coal,96
2003,Bloc Québécois,2916,coal,53
2004,Liberal,9444,coal,46
2004,Bloc Québécois,2842,coal,27
2005,Liberal,10752,coal,71
2005,Bloc Québécois,3392,coal,52
2005,Conservative,8071,coal,110
2005,New Democratic Party,2195,coal,30
2006,Liberal,7524,coal,90
2006,Bloc Québécois,3093,coal,37
2006,Conservative,10677,coal,46
2006,New Democratic Party,3921,coal,59
2007,Liberal,8717,coal,61
2007,Bloc Québécois,3502,coal,57
2007,New Democratic Party,4841,coal,58
2007,Conservative,12362,coal,81
2008,New Democratic Party,3497,coal,68
2008,Liberal,6953,coal,62
2008,Bloc Québécois,2780,coal,60
2008,Conservative,10054,coal,176
2009,New Democratic Party,6650,coal,110
2009,Liberal,9156,coal,69
2009,Bloc Québécois,4434,coal,98
2009,Conservative,13468,coal,142
2010,New Democratic Party,6075,coal,77
2010,Liberal,8176,coal,58
2010,Conservative,12269,coal,304
2010,Bloc Québécois,3872,coal,53
2011,Conservative,12737,coal,199
2011,New Democratic Party,9010,coal,75
2011,Liberal,5257,coal,31
2012,Liberal,5344,coal,31
2013,Conservative,14842,coal,108
2013,New Democratic Party,11652,coal,101
2014,New Democratic Party,13401,coal,83
2014,Liberal,4914,coal,44
2014,Conservative,16871,coal,158
2015,New Democratic Party,7224,coal,73
2016,Liberal,9467,coal,180
2016,Conservative,6230,coal,117
1991,Liberal,7334,coal,64
1942,National Government,8689,coal,37
1925,United Farmers of Ontario,10,coal,0
1984,New Democratic Party,5591,coal,53
1929,United Farmers of Ontario,3,coal,0
1928,United Farmers of Ontario,1,coal,0
1937,Conservative (1867-1942),6105,coal,27
1992,Liberal,7137,coal,83
1989,Progressive Conservative,13450,coal,40
1945,Bloc populaire canadien,28,coal,0
1988,Independent,14,coal,0
2014,Green,614,coal,5
1939,Liberal,16036,coal,148
1929,Conservative (1867-1942),10222,coal,107
1928,Conservative (1867-1942),10994,coal,153
1911,Independent Conservative,137,coal,3
1967,Social Credit,803,coal,12
1946,Bloc populaire canadien,59,coal,1
1937,Co-operative Commonwealth Federation (C.C.F.),1642,coal,4
1924,Liberal,16197,coal,202
1947,Liberal Progressive,2,coal,0
1959,Liberal Labour,830,coal,0
1947,Independent,247,coal,1
1925,Conservative (1867-1942),12052,coal,159
1988,New Democratic Party,8998,coal,88
1992,Progressive Conservative,13930,coal,67
1989,Liberal,7687,coal,42
1930,Independent Liberal,2,coal,0
2015,Green,386,coal,9
2012,Bloc Québécois,302,coal,0
1936,Conservative (1867-1942),9485,coal,58
1943,Bloc populaire canadien,50,coal,1
1908,Independent Conservative,81,coal,0
1963,Liberal Labour,79,coal,3
1936,Co-operative Commonwealth Federation (C.C.F.),2169,coal,15
1961,New Democratic Party,480,coal,3
1920,Independent,40,coal,1
1949,Social Credit,1382,coal,18
1903,Independent Labour,141,coal,1
1958,Independent,9,coal,0
1905,Independent Conservative,546,coal,6
2003,Progressive Conservative,1541,coal,14
1984,Independent,80,coal,0
1901,Conservative (1867-1942),8850,coal,60
2004,Independent,22,coal,0
1978,Independent,166,coal,0
1911,Independent Liberal,10,coal,0
1915,Liberal,8802,coal,61
1971,Liberal Labour,47,coal,0
1945,Labour Progressive,70,coal,3
1921,Liberal,1187,coal,7
1936,Liberal Progressive,114,coal,1
1920,United Farmers,188,coal,2
1951,Social Credit,1982,coal,28
1936,Independent,270,coal,7
1919,Progressive,194,coal,1
1957,Social Credit,1964,coal,35
1958,Co-operative Commonwealth Federation (C.C.F.),4678,coal,26
1952,Independent Liberal,22,coal,0
2007,Independent,79,coal,0
1968,Liberal Labour,9,coal,0
1965,Liberal Labour,27,coal,7
2016,Green Party,213,coal,3
1920,Conservative (1867-1942),1374,coal,5
1910,Liberal-Conservative,758,coal,8
2015,Independent,256,coal,1
1993,Progressive Conservative,8772,coal,20
1923,Independent Progressive,336,coal,3
1912,Liberal,4892,coal,40
1960,New Party,28,coal,0
1956,Independent Liberal,4,coal,0
1944,Liberal,20404,coal,128
1901,Independent,358,coal,4
1964,Progressive Conservative,19874,coal,55
1969,Independent,4766,coal,4
1936,Reconstruction,419,coal,2
1947,Co-operative Commonwealth Federation (C.C.F.),6101,coal,90
1993,Liberal,4577,coal,38
1955,Independent Liberal,6,coal,0
1964,Liberal,24849,coal,36
1945,Independent C.C.F.,37,coal,0
2014,Independent,179,coal,0
1916,Liberal-Conservative,365,coal,2
1969,New Democratic Party,6830,coal,19
1953,Liberal Labour,89,coal,2
2002,Independent,5,coal,0
1944,Progressive Conservative,2102,coal,10
1946,Independent C.C.F.,93,coal,1
1937,Independent,196,coal,2
1954,Liberal Labour,410,coal,0
1937,Liberal Progressive,162,coal,0
1929,Independent,296,coal,2
1928,Independent,235,coal,11
1929,Liberal Progressive,836,coal,3
1928,Liberal Progressive,517,coal,0
1930,Independent Conservative,2,coal,0
1978,New Democratic Party,3761,coal,29
2004,New Democratic Party,1872,coal,10
1929,Labour,1247,coal,8
1928,Labour,958,coal,15
1997,Independent,66,coal,0
1921,Laurier Liberal,9363,coal,103
1902,Independent Labour,54,coal,0
1909,Independent Conservative,109,coal,1
1995,Reform,6324,coal,46
1979,Independent Liberal,3,coal,0
1937,Reconstruction,159,coal,0
1967,Ralliement Créditiste,1094,coal,2
1950,Independent Liberal,6,coal,0
1925,Labour,989,coal,33
1908,Independent Liberal,23,coal,0
1961,Co-operative Commonwealth Federation (C.C.F.),5073,coal,37
1923,Independent Conservative,199,coal,9
1925,Independent,65,coal,1
1996,Independent,30,coal,0
1956,Liberal,19945,coal,91
1944,Independent Liberal,120,coal,1
1931,Liberal,11996,coal,124
1940,Social Credit,927,coal,25
1919,Unionist (Liberal),1953,coal,17
1985,Liberal,11875,coal,57
1932,Progressive Conservative,16,coal,0
1963,New Democratic Party,4496,coal,14
1961,Liberal Labour,1470,coal,3
1991,Independent Conservative,91,coal,6
1955,Progressive Conservative,9927,coal,53
1942,Co-operative Commonwealth Federation (C.C.F.),2544,coal,50
1999,Bloc Québécois,3332,coal,41
1942,Conservative (1867-1942),883,coal,5
1902,Conservative (1867-1942),7519,coal,78
1979,Progressive Conservative,8493,coal,55
1960,Liberal,17853,coal,106
1952,Liberal,13569,coal,53
1950,Progressive Conservative,9279,coal,68
2001,Bloc Québécois,3397,coal,104
1939,Independent Conservative,20,coal,0
1911,Liberal,11072,coal,112
1924,Independent Conservative,242,coal,12
1977,New Democratic Party,5535,coal,28
1953,Co-operative Commonwealth Federation (C.C.F.),3388,coal,50
1992,Independent Conservative,106,coal,0
1954,Co-operative Commonwealth Federation (C.C.F.),5265,coal,63
1960,Progressive Conservative,27096,coal,92
1979,Liberal,10434,coal,34
1940,United Farmers of Ontario-Labour,5,coal,0
1950,Liberal,13372,coal,104
1908,Liberal,16701,coal,142
1952,Progressive Conservative,8714,coal,26
1968,Co-operative Commonwealth Federation (C.C.F.),97,coal,4
1965,Co-operative Commonwealth Federation (C.C.F.),221,coal,0
2000,Reform,4041,coal,44
1977,Independent,139,coal,0
1964,Independent Liberal,19,coal,0
1944,New Democracy,67,coal,0
1924,Independent Progressive,205,coal,2
1931,Progressive Conservative,15,coal,0
1903,Independent,315,coal,3
1996,New Democratic Party,526,coal,9
1956,Progressive Conservative,13360,coal,63
1905,Liberal,16036,coal,101
2011,Green,222,coal,1
1990,Reform,41,coal,0
1955,Liberal,14703,coal,105
1958,Liberal Labour,832,coal,0
1932,Liberal,11193,coal,99
1963,Co-operative Commonwealth Federation (C.C.F.),176,coal,0
2011,Independent,23,coal,0
1975,Social Credit,1353,coal,2
1938,Social Credit,1480,coal,31
1934,Progressive Conservative,29,coal,0
1974,New Democratic Party,3207,coal,17
1994,Bloc Québécois,5651,coal,36
1971,Independent,6105,coal,0
1915,Independent Conservative,90,coal,1
1903,Conservative (1867-1942),24055,coal,153
1933,Progressive Conservative,10,coal,0
1973,Liberal,19871,coal,22
1929,United Farmers of Alberta,1763,coal,9
1928,United Farmers of Alberta,2009,coal,22
1969,Liberal Labour,50,coal,0
1901,Independent Labour,84,coal,2
1974,No affiliation,1663,coal,0
1925,United Farmers of Alberta,260,coal,3
1912,Independent Conservative,80,coal,2
1998,Independent,152,coal,0
1968,Independent,2036,coal,1
1965,Independent,15,coal,0
1918,Laurier Liberal,5344,coal,46
1942,Unity,31,coal,0
1933,Liberal,11164,coal,87
1953,Independent,116,coal,1
1953,Liberal Progressive,34,coal,0
1917,Liberal-Conservative,413,coal,2
1954,Independent,54,coal,0
2013,Bloc Québécois,281,coal,2
1954,Liberal Progressive,30,coal,0
1941,Social Credit,1072,coal,24
1998,New Democratic Party,2226,coal,42
1968,New Democratic Party,3885,coal,25
1965,New Democratic Party,3279,coal,11
1959,Co-operative Commonwealth Federation (C.C.F.),4200,coal,63
1993,Independent Conservative,55,coal,1
1938,United Farmers of Ontario-Labour,59,coal,0
1918,Liberal,204,coal,2
1923,Liberal,15683,coal,155
1909,Liberal,16237,coal,116
1942,Independent,307,coal,1
1902,Independent,79,coal,2
1942,Liberal Progressive,31,coal,1
1971,New Democratic Party,8053,coal,24
1980,Liberal,15687,coal,94
1934,Liberal,12712,coal,88
1974,Independent,29,coal,0
1948,Social Credit,1300,coal,16
1930,Liberal,9108,coal,94
1938,Independent Liberal,1,coal,0
1903,Liberal-Conservative,2705,coal,27
1939,Social Credit,2744,coal,90
2003,Canadian Alliance,5609,coal,122
1967,Liberal,21772,coal,113
1922,United Farmers of Ontario,35,coal,0
1972,Independent,3230,coal,0
1995,New Democratic Party,718,coal,10
1976,Independent,66,coal,0
1927,United Farmers of Ontario,7,coal,0
1927,Conservative (1867-1942),6117,coal,78
1918,Unionist (Liberal),796,coal,15
1964,Ralliement Créditiste,3895,coal,4
1949,Progressive Conservative,10122,coal,82
1926,United Farmers of Alberta,48,coal,5
1922,Conservative (1867-1942),5507,coal,86
1940,Independent Conservative,69,coal,0
1941,New Democracy,12,coal,0
2012,Conservative,18796,coal,77
1949,Liberal,14968,coal,100
1939,United Farmers of Ontario-Labour,83,coal,0
1924,Progressive,6267,coal,66
1920,Unionist,11024,coal,165
1914,Independent Conservative,164,coal,0
1941,Independent Liberal,17,coal,0
1967,Progressive Conservative,12767,coal,119
1917,Conservative (1867-1942),17658,coal,193
1993,Bloc Québécois,191,coal,5
1913,Liberal,6571,coal,41
1948,Independent Liberal,860,coal,5
1972,New Democratic Party,3730,coal,22
1995,Independent,26,coal,0
1943,National Government,7935,coal,84
1962,Liberal Labour,466,coal,0
1902,Liberal-Conservative,854,coal,8
1992,Bloc Québécois,594,coal,1
1944,Social Credit,1887,coal,42
1919,Laurier Liberal,12775,coal,87
1940,Independent Liberal,17,coal,0
1991,Bloc Québécois,437,coal,3
1982,New Democratic Party,6076,coal,85
1938,Independent Conservative,17,coal,1
1917,Labour,90,coal,2
1951,Liberal,19636,coal,88
1957,Liberal,12217,coal,68
1935,United Farmers of Alberta,1078,coal,26
1982,Independent,86,coal,2
1948,Independent Progressive Conservative,11,coal,0
1904,Liberal,16664,coal,93
1951,Progressive Conservative,12737,coal,58
1957,Progressive Conservative,11605,coal,40
1927,Labour,639,coal,11
1921,United Farmers of Ontario-Labour,18,coal,1
1927,Liberal Progressive,600,coal,5
1927,Independent,292,coal,2
1921,Progressive,568,coal,7
1964,Social Credit,1486,coal,5
1935,Independent Labour,166,coal,1
1941,Independent Conservative,73,coal,1
1919,Liberal,625,coal,1
1922,Labour,285,coal,12
1945,National Government,1072,coal,6
1940,New Democracy,22,coal,2
1922,Independent,25,coal,0
1981,Liberal,20208,coal,55
1970,Liberal Labour,27,coal,1
1972,Liberal Labour,12,coal,0
1951,Independent Liberal,18,coal,0
1957,Independent Liberal,29,coal,0
1910,Conservative (1867-1942),12136,coal,77
1952,Social Credit,1318,coal,20
1947,Bloc populaire canadien,117,coal,0
1946,Independent,116,coal,1
1946,Liberal Progressive,6,coal,0
1967,Independent Progressive Conservative,194,coal,0
1932,Progressive,166,coal,1
1911,Nationalist,3,coal,0
1966,New Democratic Party,6768,coal,32
1945,Independent,96,coal,0
1945,Liberal Progressive,3,coal,0
1983,Progressive Conservative,15306,coal,207
1956,Social Credit,2241,coal,41
1940,Liberal,8948,coal,63
1945,Unity,9,coal,0
1998,Reform,6077,coal,35
1994,Liberal,12627,coal,51
1935,Conservative (1867-1942),12317,coal,57
1987,New Democratic Party,10934,coal,92
1940,Progressive Conservative,15,coal,1
1983,Liberal,21690,coal,114
1943,Unity,44,coal,1
1914,Liberal,15471,coal,165
1987,Independent,5,coal,0
1955,Social Credit,1943,coal,25
1994,Progressive Conservative,104,coal,0
1949,Independent Progressive Conservative,5,coal,1
2013,Liberal,4088,coal,21
1943,Liberal Progressive,55,coal,0
1979,Social Credit,494,coal,1
1943,Independent,282,coal,1
1950,Social Credit,1016,coal,34
1931,Progressive,164,coal,3
1962,Co-operative Commonwealth Federation (C.C.F.),67,coal,0
1926,Labour,824,coal,19
1921,Unionist (Liberal),1621,coal,12
1916,Conservative (1867-1942),9710,coal,99
1966,Independent,473,coal,1
1913,Independent Conservative,111,coal,0
1904,Independent Liberal,1,coal,0
1926,Liberal Progressive,2,coal,0
1926,Independent,344,coal,8
1923,Progressive,4510,coal,88
1966,Co-operative Commonwealth Federation (C.C.F.),435,coal,2
1941,Progressive Conservative,100,coal,1
1970,New Democratic Party,7170,coal,19
1973,Social Credit,2516,coal,4
1999,Liberal,10520,coal,54
1996,Reform,5046,coal,25
1943,Co-operative Commonwealth Federation (C.C.F.),3416,coal,47
1930,Progressive,416,coal,4
1934,Progressive,101,coal,0
1927,United Farmers of Alberta,1562,coal,53
1986,New Democratic Party,9596,coal,89
1933,Progressive,63,coal,0
1957,Independent Progressive Conservative,122,coal,1
1938,Liberal,15788,coal,71
1926,Conservative (1867-1942),14282,coal,283
1916,Labour,37,coal,0
1948,Progressive Conservative,11748,coal,113
1922,United Farmers of Alberta,54,coal,0
1918,Progressive,14,coal,2
1967,Independent Liberal,2,coal,0
1910,Independent,37,coal,0
1910,Labour,30,coal,0
1986,Independent,5,coal,0
1945,Conservative (1867-1942),4,coal,0
2000,Independent,25,coal,0
1901,Liberal-Conservative,711,coal,6
2016,Bloc Québécois,344,coal,4
1904,Independent Conservative,352,coal,1
1946,Co-operative Commonwealth Federation (C.C.F.),5318,coal,56
1999,Progressive Conservative,1776,coal,21
1970,Independent,4974,coal,0
1945,Co-operative Commonwealth Federation (C.C.F.),3168,coal,33
1941,Liberal,11706,coal,77
1935,Liberal Progressive,124,coal,0
1935,Independent,394,coal,14
1949,Independent Liberal,148,coal,2
1990,Independent,333,coal,1
1935,Labour,1070,coal,3
1962,New Democratic Party,4146,coal,32
1947,Independent C.C.F.,141,coal,1
1964,Liberal Labour,112,coal,22
1933,Independent,546,coal,30
1973,New Democratic Party,7691,coal,22
1933,Liberal Progressive,140,coal,0
1937,Independent Conservative,3,coal,0
1953,Liberal,13664,coal,48
1931,Conservative (1867-1942),13875,coal,136
1933,Labour,754,coal,8
1954,Liberal,13918,coal,91
2008,Independent,183,coal,2
1998,Progressive Conservative,1815,coal,6
1968,Progressive Conservative,8721,coal,30
1965,Progressive Conservative,7243,coal,25
1960,Co-operative Commonwealth Federation (C.C.F.),6687,coal,44
1958,Independent Liberal,57,coal,0
1952,Co-operative Commonwealth Federation (C.C.F.),3068,coal,39
1909,Labour,24,coal,0
1973,No affiliation,6328,coal,0
1923,Independent,7,coal,0
1925,Independent Conservative,239,coal,0
1910,Nationalist,2,coal,0
1909,Independent,11,coal,0
1942,Liberal,15285,coal,75
1923,Labour,824,coal,19
1902,Liberal,1974,coal,54
